日期,连云港low,连云港high,连云港ave,青岛港low,青岛港high,青岛港ave,三门峡low,三门峡high,三门峡ave,滨州low,滨州high,滨州ave,吕梁low,吕梁high,吕梁ave,百色low,百色high,百色ave,贵阳low,贵阳high,贵阳ave,乌鲁木齐low,乌鲁木齐high,乌鲁木齐ave,内蒙古low,内蒙古high,内蒙古ave
2019-03-01,2930,3030,2980,2930,3030,2980,2780,2820,2800,2780,2820,2800,2780,2820,2800,2760,2800,2780,2780,2820,2800,3070,3110,3090,2960,3000,2980
2019-03-04,2930,3030,2980,2930,3030,2980,2780,2820,2800,2780,2820,2800,2780,2820,2800,2760,2800,2780,2780,2820,2800,3070,3110,3090,2960,3000,2980
2019-03-05,2930,3030,2980,2930,3030,2980,2780,2820,2800,2780,2820,2800,2780,2820,2800,2760,2800,2780,2780,2820,2800,3070,3110,3090,2960,3000,2980
2019-03-06,2930,3030,2980,2930,3030,2980,2760,2800,2780,2760,2800,2780,2760,2800,2780,2730,2780,2750,2760,2800,2780,3050,3090,3070,2940,2980,2960
2019-03-07,2930,3030,2980,2930,3030,2980,2760,2800,2780,2730,2770,2750,2730,2770,2750,2730,2780,2750,2760,2800,2780,3050,3090,3070,2940,2980,2960
2019-03-08,2930,3030,2980,2930,3030,2980,2730,2770,2750,2730,2770,2750,2730,2770,2750,2730,2780,2750,2730,2770,2750,3050,3090,3070,2940,2980,2960
2019-03-11,2930,3030,2980,2930,3030,2980,2730,2770,2750,2690,2740,2720,2730,2770,2750,2720,2760,2740,2730,2770,2750,3050,3090,3070,2940,2980,2960
2019-03-12,2930,3030,2980,2930,3030,2980,2730,2770,2750,2680,2720,2700,2730,2770,2750,2720,2760,2740,2730,2770,2750,3050,3090,3070,2940,2980,2960
2019-03-13,2930,3030,2980,2930,3030,2980,2730,2770,2750,2680,2720,2700,2730,2770,2750,2720,2760,2740,2730,2770,2750,3050,3090,3070,2940,2980,2960
2019-03-14,2930,3030,2980,2930,3030,2980,2730,2770,2750,2680,2720,2700,2730,2770,2750,2720,2760,2740,2730,2770,2750,3050,3090,3070,2940,2980,2960
2019-03-15,2930,3030,2980,2930,3030,2980,2730,2770,2750,2680,2720,2700,2710,2750,2730,2700,2740,2720,2730,2770,2750,3050,3090,3070,2940,2980,2960
2019-03-18,2930,3030,2980,2930,3030,2980,2730,2770,2750,2680,2720,2700,2710,2750,2730,2700,2740,2720,2730,2770,2750,3050,3090,3070,2940,2980,2960
2019-03-19,2930,3030,2980,2930,3030,2980,2730,2770,2750,2680,2720,2700,2710,2750,2730,2700,2740,2720,2730,2770,2750,3050,3090,3070,2940,2980,2960
2019-03-20,2930,3030,2980,2930,3030,2980,2730,2770,2750,2680,2720,2700,2710,2750,2730,2700,2740,2720,2730,2770,2750,3050,3090,3070,2940,2980,2960
2019-03-21,2930,3030,2980,2930,3030,2980,2730,2770,2750,2680,2720,2700,2710,2750,2730,2700,2740,2720,2730,2770,2750,3050,3090,3070,2940,2980,2960
2019-03-22,2930,3030,2980,2930,3030,2980,2730,2770,2750,2680,2720,2700,2710,2750,2730,2700,2740,2720,2730,2770,2750,3050,3090,3070,2940,2980,2960
2019-03-25,2930,3030,2980,2930,3030,2980,2730,2770,2750,2680,2720,2700,2710,2750,2730,2700,2740,2720,2730,2770,2750,3050,3090,3070,2940,2980,2960
2019-03-26,2930,3030,2980,2930,3030,2980,2730,2770,2750,2680,2720,2700,2710,2750,2730,2680,2720,2700,2700,2740,2720,3050,3090,3070,2940,2980,2960
2019-03-27,2930,3030,2980,2930,3030,2980,2730,2770,2750,2680,2720,2700,2710,2750,2730,2680,2720,2700,2680,2720,2700,3050,3090,3070,2940,2980,2960
2019-03-28,2930,3030,2980,2930,3030,2980,2730,2770,2750,2680,2720,2700,2710,2750,2730,2680,2720,2700,2680,2720,2700,3050,3090,3070,2940,2980,2960
均价,,,2980.0,,,2980.0,,,2760.5,,,2725.0,,,2749.0,,,2734.5,,,2754.0,,,3073.0,,,2963.0
