日期,连云港low,连云港high,连云港ave,青岛港low,青岛港high,青岛港ave,三门峡low,三门峡high,三门峡ave,滨州low,滨州high,滨州ave,吕梁low,吕梁high,吕梁ave,百色low,百色high,百色ave,贵阳low,贵阳high,贵阳ave,乌鲁木齐low,乌鲁木齐high,乌鲁木齐ave,内蒙古low,内蒙古high,内蒙古ave
2019-03-01,2930,3030,2980,2930,3030,2980,2780,2820,2800,2780,2820,2800,2780,2820,2800,2760,2800,2780,2780,2820,2800,3070,3110,3090,2960,3000,2980
2019-03-04,2930,3030,2980,2930,3030,2980,2780,2820,2800,2780,2820,2800,2780,2820,2800,2760,2800,2780,2780,2820,2800,3070,3110,3090,2960,3000,2980
2019-03-05,2930,3030,2980,2930,3030,2980,2780,2820,2800,2780,2820,2800,2780,2820,2800,2760,2800,2780,2780,2820,2800,3070,3110,3090,2960,3000,2980
2019-03-06,2930,3030,2980,2930,3030,2980,2760,2800,2780,2760,2800,2780,2760,2800,2780,2730,2780,2750,2760,2800,2780,3050,3090,3070,2940,2980,2960
均价,,,2980.0,,,2980.0,,,2795.0,,,2795.0,,,2795.0,,,2772.5,,,2795.0,,,3085.0,,,2975.0
