日期,连云港low,连云港high,连云港ave,青岛港low,青岛港high,青岛港ave,三门峡low,三门峡high,三门峡ave,滨州low,滨州high,滨州ave,吕梁low,吕梁high,吕梁ave,百色low,百色high,百色ave,贵阳low,贵阳high,贵阳ave,乌鲁木齐low,乌鲁木齐high,乌鲁木齐ave,内蒙古low,内蒙古high,内蒙古ave
2019-05-05,3000,3040,3020,3000,3040,3020,2740,2780,2760,2740,2780,2760,2760,2800,2780,2710,2750,2730,2710,2750,2730,3120,3160,3140,3020,3060,3040
2019-05-06,3000,3040,3020,3000,3040,3020,2780,2820,2800,2780,2820,2800,2800,2840,2820,2730,2770,2750,2730,2770,2750,3160,3200,3180,3060,3100,3080
2019-05-07,3000,3040,3020,3000,3040,3020,2780,2820,2800,2780,2820,2800,2800,2840,2820,2730,2770,2750,2730,2770,2750,3160,3200,3180,3060,3100,3080
2019-05-08,3000,3040,3020,3000,3040,3020,2780,2820,2800,2780,2820,2800,2800,2840,2820,2730,2770,2750,2730,2770,2750,3160,3200,3180,3060,3100,3080
2019-05-09,3000,3040,3020,3000,3040,3020,2780,2820,2800,2780,2820,2800,2800,2840,2820,2730,2770,2750,2730,2770,2750,3160,3200,3180,3060,3100,3080
2019-05-10,2900,2940,2920,2900,2940,2920,2800,2840,2820,2800,2840,2820,2830,2870,2850,2730,2770,2750,2730,2770,2750,3180,3220,3200,3100,3140,3120
均价,,,3003.3,,,3003.3,,,2796.7,,,2796.7,,,2818.3,,,2746.7,,,2746.7,,,3176.7,,,3080.0
