日期,连云港low,连云港high,连云港ave,青岛港low,青岛港high,青岛港ave,三门峡low,三门峡high,三门峡ave,滨州low,滨州high,滨州ave,吕梁low,吕梁high,吕梁ave,百色low,百色high,百色ave,贵阳low,贵阳high,贵阳ave,乌鲁木齐low,乌鲁木齐high,乌鲁木齐ave,内蒙古low,内蒙古high,内蒙古ave
2021-05-06,2420,2460,2440,2420,2460,2440,2360,2400,2380,2360,2400,2380,2350,2410,2380,2340,2380,2360,2350,2370,2360,2800,2840,2820,2570,2610,2590
2021-05-07,2420,2460,2440,2420,2460,2440,2360,2400,2380,2360,2400,2380,2350,2410,2380,2340,2380,2360,2350,2370,2360,2800,2840,2820,2570,2610,2590
2021-05-08,2420,2460,2440,2420,2460,2440,2360,2400,2380,2360,2400,2380,2350,2410,2380,2340,2380,2360,2350,2370,2360,2800,2840,2820,2570,2610,2590
均价,,,2440.0,,,2440.0,,,2380.0,,,2380.0,,,2380.0,,,2360.0,,,2360.0,,,2820.0,,,2590.0
