日期,连云港low,连云港high,连云港ave,青岛港low,青岛港high,青岛港ave,三门峡low,三门峡high,三门峡ave,滨州low,滨州high,滨州ave,吕梁low,吕梁high,吕梁ave,百色low,百色high,百色ave,贵阳low,贵阳high,贵阳ave,乌鲁木齐low,乌鲁木齐high,乌鲁木齐ave,内蒙古low,内蒙古high,内蒙古ave
2021-05-06,2420,2460,2440,2420,2460,2440,2360,2400,2380,2360,2400,2380,2350,2410,2380,2340,2380,2360,2350,2370,2360,2800,2840,2820,2570,2610,2590
2021-05-07,2420,2460,2440,2420,2460,2440,2360,2400,2380,2360,2400,2380,2350,2410,2380,2340,2380,2360,2350,2370,2360,2800,2840,2820,2570,2610,2590
2021-05-08,2420,2460,2440,2420,2460,2440,2360,2400,2380,2360,2400,2380,2350,2410,2380,2340,2380,2360,2350,2370,2360,2800,2840,2820,2570,2610,2590
2021-05-10,2420,2460,2440,2420,2460,2440,2390,2430,2410,2400,2440,2420,2400,2460,2430,2360,2400,2380,2370,2390,2380,2800,2840,2820,2590,2630,2610
2021-05-11,2420,2460,2440,2420,2460,2440,2390,2430,2410,2400,2440,2420,2400,2460,2430,2360,2400,2380,2370,2390,2380,2800,2840,2820,2590,2630,2610
2021-05-12,2420,2460,2440,2420,2460,2440,2410,2450,2430,2420,2480,2450,2420,2480,2450,2360,2400,2380,2370,2390,2380,2800,2840,2820,2590,2630,2610
2021-05-13,2420,2460,2440,2420,2460,2440,2410,2450,2430,2420,2480,2450,2420,2480,2450,2360,2400,2380,2370,2390,2380,2800,2840,2820,2590,2630,2610
2021-05-14,2420,2460,2440,2420,2460,2440,2420,2460,2440,2420,2480,2450,2420,2480,2450,2360,2400,2380,2370,2390,2380,2800,2840,2820,2590,2630,2610
2021-05-17,2420,2460,2440,2420,2460,2440,2420,2460,2440,2420,2480,2450,2420,2480,2450,2360,2400,2380,2390,2410,2400,2800,2840,2820,2590,2630,2610
2021-05-18,2420,2460,2440,2420,2460,2440,2420,2460,2440,2420,2480,2450,2420,2480,2450,2380,2420,2400,2390,2410,2400,2800,2840,2820,2590,2630,2610
2021-05-19,2420,2460,2440,2420,2460,2440,2440,2480,2460,2440,2500,2470,2440,2500,2470,2400,2440,2420,2390,2410,2400,2800,2840,2820,2590,2630,2610
2021-05-20,2420,2460,2440,2420,2460,2440,2440,2480,2460,2440,2500,2470,2440,2500,2470,2400,2440,2420,2390,2410,2400,2840,2880,2860,2610,2650,2630
均价,,,2440.0,,,2440.0,,,2421.7,,,2430.8,,,2432.5,,,2383.3,,,2381.7,,,2823.3,,,2606.7
