日期,连云港low,连云港high,连云港ave,青岛港low,青岛港high,青岛港ave,三门峡low,三门峡high,三门峡ave,滨州low,滨州high,滨州ave,吕梁low,吕梁high,吕梁ave,百色low,百色high,百色ave,贵阳low,贵阳high,贵阳ave,乌鲁木齐low,乌鲁木齐high,乌鲁木齐ave,内蒙古low,内蒙古high,内蒙古ave
2019-06-03,3050,3090,3070,3080,3120,3100,3130,3170,3150,3130,3170,3150,3150,3190,3170,3080,3120,3100,3080,3120,3100,3510,3570,3540,3410,3450,3430
2019-06-04,3050,3090,3070,3080,3120,3100,3130,3170,3150,3130,3170,3150,3150,3190,3170,3080,3120,3100,3080,3120,3100,3510,3570,3540,3410,3450,3430
均价,,,3070.0,,,3100.0,,,3150.0,,,3150.0,,,3170.0,,,3100.0,,,3100.0,,,3540.0,,,3430.0
