日期,连云港low,连云港high,连云港ave,青岛港low,青岛港high,青岛港ave,三门峡low,三门峡high,三门峡ave,滨州low,滨州high,滨州ave,吕梁low,吕梁high,吕梁ave,百色low,百色high,百色ave,贵阳low,贵阳high,贵阳ave,乌鲁木齐low,乌鲁木齐high,乌鲁木齐ave,内蒙古low,内蒙古high,内蒙古ave
2019-06-03,3050,3090,3070,3080,3120,3100,3130,3170,3150,3130,3170,3150,3150,3190,3170,3080,3120,3100,3080,3120,3100,3510,3570,3540,3410,3450,3430
2019-06-04,3050,3090,3070,3080,3120,3100,3130,3170,3150,3130,3170,3150,3150,3190,3170,3080,3120,3100,3080,3120,3100,3510,3570,3540,3410,3450,3430
2019-06-05,3050,3090,3070,3080,3120,3100,3130,3170,3150,3130,3170,3150,3150,3190,3170,3080,3120,3100,3080,3120,3100,3510,3570,3540,3410,3450,3430
2019-06-06,3050,3090,3070,3080,3120,3100,3130,3170,3150,3130,3170,3150,3150,3190,3170,3080,3120,3100,3080,3120,3100,3510,3570,3540,3410,3450,3430
2019-06-10,3050,3090,3070,3080,3120,3100,3130,3170,3150,3130,3170,3150,3150,3190,3170,3080,3120,3100,3080,3120,3100,3510,3570,3540,3410,3450,3430
2019-06-11,3050,3090,3070,3080,3120,3100,3130,3170,3150,3130,3170,3150,3150,3190,3170,3080,3120,3100,3080,3120,3100,3510,3570,3540,3410,3450,3430
2019-06-12,3050,3090,3070,3080,3120,3100,3130,3170,3150,3130,3170,3150,3150,3190,3170,3080,3120,3100,3080,3120,3100,3510,3570,3540,3410,3450,3430
2019-06-13,3050,3090,3070,3080,3120,3100,3130,3170,3150,3130,3170,3150,3150,3190,3170,3080,3120,3100,3080,3120,3100,3510,3570,3540,3410,3450,3430
2019-06-14,3050,3090,3070,3080,3120,3100,3130,3170,3150,3130,3170,3150,3150,3190,3170,3080,3120,3100,3080,3120,3100,3510,3570,3540,3410,3450,3430
2019-06-17,3050,3090,3070,3080,3120,3100,3080,3120,3100,3080,3120,3100,3100,3140,3120,3080,3120,3100,3080,3120,3100,3460,3510,3490,3360,3400,3380
2019-06-18,3050,3090,3070,3080,3120,3100,3080,3120,3100,3060,3100,3080,3080,3120,3100,3030,3070,3050,3030,3070,3050,3460,3510,3490,3360,3400,3380
2019-06-19,3050,3090,3070,3080,3120,3100,3030,3070,3050,3030,3070,3050,3060,3100,3080,2980,3020,3000,2980,3020,3000,3410,3460,3440,3310,3350,3330
2019-06-20,3050,3090,3070,3080,3120,3100,2880,2920,2900,2880,2920,2900,2900,2940,2920,2880,2920,2900,2880,2920,2900,3310,3360,3340,3310,3350,3330
2019-06-21,3050,3090,3070,3080,3120,3100,2880,2920,2900,2880,2920,2900,2900,2940,2920,2830,2870,2850,2830,2870,2850,3310,3360,3340,3310,3350,3330
2019-06-24,3050,3090,3070,3080,3120,3100,2880,2920,2900,2880,2920,2900,2900,2940,2920,2830,2870,2850,2830,2870,2850,3310,3360,3340,3310,3350,3330
2019-06-25,3050,3090,3070,3080,3120,3100,2880,2920,2900,2880,2920,2900,2900,2940,2920,2830,2870,2850,2830,2870,2850,3310,3360,3340,3310,3350,3330
2019-06-26,3050,3090,3070,3080,3120,3100,2880,2920,2900,2880,2920,2900,2900,2940,2920,2830,2870,2850,2830,2870,2850,3310,3360,3340,3310,3350,3330
2019-06-27,3050,3090,3070,3080,3120,3100,2780,2820,2800,2780,2820,2800,2780,2820,2800,2760,2800,2780,2760,2800,2780,3210,3260,3240,3210,3250,3230
均价,,,3070.0,,,3100.0,,,3050.0,,,3048.9,,,3068.3,,,3007.2,,,3007.2,,,3456.7,,,3380.0
