日期,连云港low,连云港high,连云港ave,青岛港low,青岛港high,青岛港ave,三门峡low,三门峡high,三门峡ave,滨州low,滨州high,滨州ave,吕梁low,吕梁high,吕梁ave,百色low,百色high,百色ave,贵阳low,贵阳high,贵阳ave,乌鲁木齐low,乌鲁木齐high,乌鲁木齐ave,内蒙古low,内蒙古high,内蒙古ave
2019-09-02,2680,2720,2700,2680,2720,2700,2530,2570,2550,2510,2550,2530,2530,2570,2550,2480,2520,2500,2480,2520,2500,2900,2940,2920,2880,2920,2900
2019-09-03,2680,2720,2700,2580,2620,2600,2530,2570,2550,2510,2550,2530,2530,2570,2550,2480,2520,2500,2480,2520,2500,2900,2940,2920,2880,2920,2900
2019-09-04,2680,2720,2700,2580,2620,2600,2560,2600,2580,2540,2580,2560,2560,2600,2580,2480,2520,2500,2500,2540,2520,2900,2940,2920,2880,2920,2900
2019-09-05,2580,2620,2600,2580,2620,2600,2560,2600,2580,2540,2580,2560,2560,2600,2580,2480,2520,2500,2500,2540,2520,2900,2940,2920,2880,2920,2900
2019-09-06,2580,2620,2600,2580,2620,2600,2560,2600,2580,2540,2580,2560,2560,2600,2580,2480,2520,2500,2500,2540,2520,2900,2940,2920,2880,2920,2900
2019-09-09,2580,2620,2600,2580,2620,2600,2560,2600,2580,2540,2580,2560,2560,2600,2580,2480,2520,2500,2500,2540,2520,2900,2940,2920,2880,2920,2900
2019-09-10,2580,2620,2600,2580,2620,2600,2560,2600,2580,2540,2580,2560,2560,2600,2580,2480,2520,2500,2500,2540,2520,2900,2940,2920,2880,2920,2900
2019-09-11,2580,2620,2600,2580,2620,2600,2560,2600,2580,2540,2580,2560,2560,2600,2580,2480,2520,2500,2500,2540,2520,2900,2940,2920,2880,2920,2900
2019-09-12,2580,2620,2600,2580,2620,2600,2560,2600,2580,2560,2600,2580,2580,2620,2600,2480,2520,2500,2500,2540,2520,2940,2980,2960,2920,2960,2940
2019-09-16,2580,2620,2600,2580,2620,2600,2560,2600,2580,2560,2600,2580,2580,2620,2600,2480,2520,2500,2500,2540,2520,2940,2980,2960,2920,2960,2940
2019-09-17,2580,2620,2600,2580,2620,2600,2560,2600,2580,2560,2600,2580,2580,2620,2600,2480,2520,2500,2500,2540,2520,2940,2980,2960,2920,2960,2940
2019-09-18,2580,2620,2600,2580,2620,2600,2580,2620,2600,2560,2600,2580,2580,2620,2600,2480,2520,2500,2500,2540,2520,2940,2980,2960,2920,2960,2940
2019-09-19,2580,2620,2600,2580,2620,2600,2580,2620,2600,2560,2600,2580,2580,2620,2600,2480,2520,2500,2500,2540,2520,2940,2980,2960,2920,2960,2940
2019-09-20,2580,2620,2600,2580,2620,2600,2600,2640,2620,2580,2620,2600,2600,2640,2620,2480,2520,2500,2500,2540,2520,2970,3010,2990,2950,2990,2970
2019-09-23,2580,2620,2600,2580,2620,2600,2600,2640,2620,2580,2620,2600,2600,2640,2620,2480,2520,2500,2500,2540,2520,2970,3010,2990,2950,2990,2970
2019-09-24,2580,2620,2600,2580,2620,2600,2600,2640,2620,2580,2620,2600,2600,2640,2620,2480,2520,2500,2500,2540,2520,2970,3010,2990,2950,2990,2970
2019-09-25,2580,2620,2600,2580,2620,2600,2600,2640,2620,2580,2620,2600,2600,2640,2620,2480,2520,2500,2500,2540,2520,2970,3010,2990,2950,2990,2970
2019-09-26,2580,2620,2600,2580,2620,2600,2600,2640,2620,2580,2620,2600,2600,2640,2620,2480,2520,2500,2500,2540,2520,2970,3010,2990,2950,2990,2970
2019-09-27,2580,2620,2600,2580,2620,2600,2600,2640,2620,2580,2620,2600,2600,2640,2620,2480,2520,2500,2500,2540,2520,2970,3010,2990,2950,2990,2970
均价,,,2615.8,,,2605.3,,,2591.6,,,2574.7,,,2594.7,,,2500.0,,,2517.9,,,2952.6,,,2932.6
