日期,连云港low,连云港high,连云港ave,青岛港low,青岛港high,青岛港ave,三门峡low,三门峡high,三门峡ave,滨州low,滨州high,滨州ave,吕梁low,吕梁high,吕梁ave,百色low,百色high,百色ave,贵阳low,贵阳high,贵阳ave,乌鲁木齐low,乌鲁木齐high,乌鲁木齐ave,内蒙古low,内蒙古high,内蒙古ave
2019-02-01,2930,3030,2980,2930,3030,2980,2780,2820,2800,2860,2900,2880,2780,2820,2800,2780,2820,2800,2780,2820,2800,3070,3110,3090,2960,3000,2980
2019-02-02,2930,3030,2980,2930,3030,2980,2780,2820,2800,2860,2900,2880,2780,2820,2800,2780,2820,2800,2780,2820,2800,3070,3110,3090,2960,3000,2980
2019-02-03,2930,3030,2980,2930,3030,2980,2780,2820,2800,2860,2900,2880,2780,2820,2800,2780,2820,2800,2780,2820,2800,3070,3110,3090,2960,3000,2980
均价,,,2980.0,,,2980.0,,,2800.0,,,2880.0,,,2800.0,,,2800.0,,,2800.0,,,3090.0,,,2980.0
