日期,连云港low,连云港high,连云港ave,青岛港low,青岛港high,青岛港ave,三门峡low,三门峡high,三门峡ave,滨州low,滨州high,滨州ave,吕梁low,吕梁high,吕梁ave,百色low,百色high,百色ave,贵阳low,贵阳high,贵阳ave,乌鲁木齐low,乌鲁木齐high,乌鲁木齐ave,内蒙古low,内蒙古high,内蒙古ave
2019-08-01,3050,3090,3070,3080,3120,3100,2430,2470,2450,2430,2470,2450,2430,2470,2450,2400,2440,2420,2400,2440,2420,2880,2920,2900,2860,2900,2880
2019-08-02,3050,3090,3070,3080,3120,3100,2430,2470,2450,2430,2470,2450,2430,2470,2450,2400,2440,2420,2400,2440,2420,2880,2920,2900,2860,2900,2880
2019-08-05,3050,3090,3070,3080,3120,3100,2430,2470,2450,2430,2470,2450,2430,2470,2450,2400,2440,2420,2400,2440,2420,2880,2920,2900,2860,2900,2880
2019-08-06,3050,3090,3070,3080,3120,3100,2430,2470,2450,2430,2470,2450,2430,2470,2450,2400,2440,2420,2400,2440,2420,2880,2920,2900,2860,2900,2880
2019-08-07,3050,3090,3070,3080,3120,3100,2430,2470,2450,2430,2470,2450,2430,2470,2450,2400,2440,2420,2400,2440,2420,2880,2920,2900,2860,2900,2880
2019-08-08,3050,3090,3070,3080,3120,3100,2430,2470,2450,2430,2470,2450,2430,2470,2450,2400,2440,2420,2400,2440,2420,2880,2920,2900,2860,2900,2880
2019-08-09,3050,3090,3070,3080,3120,3100,2430,2470,2450,2430,2470,2450,2430,2470,2450,2400,2440,2420,2400,2440,2420,2880,2920,2900,2860,2900,2880
2019-08-12,3050,3090,3070,3080,3120,3100,2430,2470,2450,2430,2470,2450,2430,2470,2450,2400,2440,2420,2400,2440,2420,2880,2920,2900,2860,2900,2880
2019-08-13,3050,3090,3070,3080,3120,3100,2450,2490,2470,2450,2490,2470,2450,2490,2470,2430,2470,2450,2430,2470,2450,2900,2940,2920,2880,2920,2900
2019-08-14,3050,3090,3070,3080,3120,3100,2450,2490,2470,2450,2490,2470,2450,2490,2470,2430,2470,2450,2430,2470,2450,2900,2940,2920,2880,2920,2900
2019-08-15,3050,3090,3070,3080,3120,3100,2450,2490,2470,2450,2490,2470,2450,2490,2470,2430,2470,2450,2430,2470,2450,2900,2940,2920,2880,2920,2900
2019-08-16,3050,3090,3070,3080,3120,3100,2450,2490,2470,2450,2490,2470,2450,2490,2470,2430,2470,2450,2430,2470,2450,2900,2940,2920,2880,2920,2900
2019-08-19,3050,3090,3070,3080,3120,3100,2450,2490,2470,2450,2490,2470,2450,2490,2470,2430,2470,2450,2430,2470,2450,2900,2940,2920,2880,2920,2900
2019-08-20,2680,2720,2700,2680,2720,2700,2450,2490,2470,2450,2490,2470,2450,2490,2470,2430,2470,2450,2430,2470,2450,2900,2940,2920,2880,2920,2900
2019-08-21,2680,2720,2700,2680,2720,2700,2450,2490,2470,2450,2490,2470,2450,2490,2470,2430,2470,2450,2430,2470,2450,2900,2940,2920,2880,2920,2900
2019-08-22,2680,2720,2700,2680,2720,2700,2450,2490,2470,2450,2490,2470,2450,2490,2470,2430,2470,2450,2430,2470,2450,2900,2940,2920,2880,2920,2900
2019-08-23,2680,2720,2700,2680,2720,2700,2450,2490,2470,2450,2490,2470,2450,2490,2470,2430,2470,2450,2430,2470,2450,2900,2940,2920,2880,2920,2900
2019-08-26,2680,2720,2700,2680,2720,2700,2450,2490,2470,2450,2490,2470,2450,2490,2470,2430,2470,2450,2430,2470,2450,2900,2940,2920,2880,2920,2900
2019-08-27,2680,2720,2700,2680,2720,2700,2480,2520,2500,2480,2520,2500,2480,2520,2500,245,2490,2470,2450,2490,2470,2900,2940,2920,2880,2920,2900
2019-08-28,2680,2720,2700,2680,2720,2700,2530,2570,2550,2510,2550,2530,2530,2570,2550,2480,2520,2500,2480,2520,2500,2900,2940,2920,2880,2920,2900
2019-08-29,2680,2720,2700,2680,2720,2700,2530,2570,2550,2510,2550,2530,2530,2570,2550,2480,2520,2500,2480,2520,2500,2900,2940,2920,2880,2920,2900
2019-08-30,2680,2720,2700,2680,2720,2700,2530,2570,2550,2510,2550,2530,2530,2570,2550,2480,2520,2500,2480,2520,2500,2900,2940,2920,2880,2920,2900
均价,,,2918.6,,,2936.4,,,2475.0,,,2472.3,,,2475.0,,,2446.8,,,2446.8,,,2912.7,,,2892.7
