日期,连云港low,连云港high,连云港ave,青岛港low,青岛港high,青岛港ave,三门峡low,三门峡high,三门峡ave,滨州low,滨州high,滨州ave,吕梁low,吕梁high,吕梁ave,百色low,百色high,百色ave,贵阳low,贵阳high,贵阳ave,乌鲁木齐low,乌鲁木齐high,乌鲁木齐ave,内蒙古low,内蒙古high,内蒙古ave
2019-11-01,2580,2620,2600,2580,2620,2600,2630,2670,2650,2640,2680,2660,2660,2700,2680,2530,2570,2550,2530,2570,2550,2970,3010,2990,2950,2990,2970
2019-11-04,2580,2620,2600,2580,2620,2600,2580,2620,2600,2580,2620,2600,2580,2620,2600,2530,2570,2550,2530,2570,2550,2920,2960,2940,2900,2940,2920
2019-11-05,2580,2620,2600,2580,2620,2600,2580,2620,2600,2580,2620,2600,2580,2620,2600,2530,2570,2550,2530,2570,2550,2920,2960,2940,2900,2940,2920
2019-11-06,2580,2620,2600,2580,2620,2600,2580,2620,2600,2580,2620,2600,2580,2620,2600,2530,2570,2550,2530,2570,2550,2920,2960,2940,2900,2940,2920
2019-11-07,2580,2620,2600,2580,2620,2600,2580,2620,2600,2580,2620,2600,2580,2620,2600,2530,2570,2550,2530,2570,2550,2920,2960,2940,2900,2940,2920
2019-11-08,2580,2620,2600,2580,2620,2600,2580,2620,2600,2580,2620,2600,2580,2620,2600,2530,2570,2550,2530,2570,2550,2920,2960,2940,2900,2940,2920
2019-11-11,2580,2620,2600,2580,2620,2600,2580,2620,2600,2580,2620,2600,2580,2620,2600,2450,2500,2480,2530,2500,2470,2920,2960,2940,2900,2940,2920
2019-11-12,2580,2620,2600,2580,2620,2600,2580,2620,2600,2580,2620,2600,2580,2620,2600,2450,2500,2480,2450,2500,2470,2920,2960,2940,2900,2940,2920
2019-11-13,2580,2620,2600,2580,2620,2600,2580,2620,2600,2580,2620,2600,2580,2620,2600,2450,2500,2480,2450,2500,2470,2920,2960,2940,2900,2940,2920
2019-11-14,2580,2620,2600,2580,2620,2600,2580,2620,2600,2580,2620,2600,2580,2620,2600,2450,2500,2480,2450,2500,2470,2920,2960,2940,2900,2940,2920
2019-11-15,2580,2620,2600,2580,2620,2600,2580,2620,2600,2580,2620,2600,2580,2620,2600,2450,2500,2480,2450,2500,2470,2920,2960,2940,2900,2940,2920
2019-11-18,2580,2620,2600,2580,2620,2600,2580,2620,2600,2540,2580,2560,2520,2580,2550,2450,2500,2480,2450,2500,2470,2920,2960,2940,2820,2860,2840
2019-11-19,2580,2620,2600,2580,2620,2600,2580,2620,2600,2540,2580,2560,2520,2580,2550,2450,2500,2480,2450,2500,2470,2920,2960,2940,2760,2800,2780
2019-11-20,2580,2620,2600,2580,2620,2600,2580,2620,2600,2540,2580,2560,2520,2580,2550,2450,2500,2480,2450,2500,2470,2920,2960,2940,2760,2800,2780
2019-11-21,2580,2620,2600,2580,2620,2600,2580,2620,2600,2540,2580,2560,2520,2580,2550,2450,2500,2480,2450,2500,2470,2920,2960,2940,2760,2800,2780
均价,,,2600.0,,,2600.0,,,2603.3,,,2593.3,,,2592.0,,,2508.0,,,2502.0,,,2943.3,,,2890.0
